#U/V	I/mA	Delta U/V	Delta I/mA
0.9	100	0.001	1
0.89	90	0.001	1
0.88	88	0.001	1
0.87	83	0.001	1
0.86	78	0.001	1
0.85	72	0.001	1
0.84	66	0.001	1
0.83	60	0.001	1
0.82	56	0.001	1
0.81	50	0.001	1
0.8	46	0.001	1
0.79	40	0.001	1
0.78	38	0.001	1
0.77	31	0.001	1
0.76	28	0.001	1
0.75	24	0.001	1
0.74	21	0.001	1
0.73	16	0.001	0.25
0.72	14.5	0.001	0.25
0.71	12	0.001	0.25
0.7	10.5	0.001	0.25
0.69	7.5	0.001	0.25
0.68	7	0.001	0.25
0.67	6	0.001	0.25
0.66	4.95	0.001	0.05
0.65	4.1	0.001	0.05
0.63	3.3	0.001	0.05
0.62	2.8	0.001	0.05
0.61	2.2	0.001	0.05
0.6	1.6	0.001	0.05
0.55	0.6	0.001	0.01
0.5	0.22	0.001	0.01
0.4	0.03	0.001	0.005
